symbol,signal_datetime,entry_price,target_level,stop_level,predicted_class
NSE_STOCK,2025-05-27 03:58:00,730.1,731.4359263834374,729.4320368082813,1
NSE_STOCK,2025-05-27 03:59:00,729.0,730.3690744989062,728.3154627505469,1
NSE_STOCK,2025-05-27 04:01:00,728.3,729.6174672975262,727.6412663512368,1
NSE_STOCK,2025-05-27 04:18:00,729.25,730.2163001892632,728.7668499053684,1
NSE_STOCK,2025-05-27 04:27:00,727.3,728.2092220753387,726.8453889623305,1
NSE_STOCK,2025-05-27 04:33:00,726.9,727.7446991748553,726.4776504125723,1
NSE_STOCK,2025-05-27 04:41:00,726.25,727.1094250159441,725.820287492028,1
NSE_STOCK,2025-05-27 04:47:00,726.05,726.8758992588366,725.6370503705816,1
NSE_STOCK,2025-05-27 04:55:00,726.2,726.9494471945957,725.8252764027022,1
NSE_STOCK,2025-05-27 04:56:00,725.35,726.1066295378389,724.9716852310806,1
NSE_STOCK,2025-05-27 05:11:00,725.55,726.2159948060728,725.2170025969635,1
NSE_STOCK,2025-05-27 05:24:00,726.05,726.6672254272733,725.7413872863633,1
NSE_STOCK,2025-05-27 05:35:00,2072.4,2074.172168969674,2071.5139155151633,1
NSE_STOCK,2025-05-27 05:36:00,727.0,727.7105592585508,726.6447203707246,1
NSE_STOCK,2025-05-27 05:38:00,727.35,728.0937985443627,726.9781007278186,1
NSE_STOCK,2025-05-27 05:41:00,727.45,728.2493897237482,727.050305138126,1
NSE_STOCK,2025-05-27 06:19:00,2070.5,2072.0310378882236,2069.734481055888,1
NSE_STOCK,2025-05-27 06:42:00,2070.1,2071.850319763602,2069.224840118199,1
NSE_STOCK,2025-05-27 06:58:00,730.1,730.9564415275144,729.6717792362429,1
NSE_STOCK,2025-05-27 07:25:00,731.35,732.2620747985025,730.8939626007488,1
NSE_STOCK,2025-05-27 07:27:00,5502.5,5504.682048089982,5501.408975955009,1
NSE_STOCK,2025-05-27 07:28:00,731.15,731.9731517246028,730.7384241376986,1
NSE_STOCK,2025-05-27 07:36:00,730.6,731.3851286839348,730.2074356580326,1
NSE_STOCK,2025-05-27 07:42:00,730.8,731.4427339344383,730.4786330327809,1
NSE_STOCK,2025-05-27 07:43:00,730.1,730.7468243676927,729.7765878161537,1
NSE_STOCK,2025-05-27 07:47:00,2068.0,2069.0626291296267,2067.4686854351867,1
NSE_STOCK,2025-05-27 07:48:00,730.05,730.6078173528026,729.7710913235986,1
NSE_STOCK,2025-05-27 07:56:00,730.25,730.8901514432887,729.9299242783557,1
